,Draw Number,Date,Immigration program,Invitations issued,CRS score of lowest-ranked candidate invited,Date (hidden),Programs covered,Month,Year,month_year,Date Full
0,172,1/7/2021,Canadian Experience Class,4750,461,7/1/2021,Canadian Experience Class,1,2021,1/1/2021,7-Jan-21
1,171,1/6/2021,Provincial Nominee Program,250,813,6/1/2021,Provincial Nominee Program,1,2021,1/1/2021,6-Jan-21
2,170,12/23/2020,No program specified,5000,468,12/23/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2020,12/1/2020,23-Dec-20
3,169,12/9/2020,No program specified,5000,469,9/12/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2020,12/1/2020,9-Dec-20
4,168,11/25/2020,No program specified,5000,469,11/25/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2020,11/1/2020,25-Nov-20
5,167,11/18/2020,No program specified,5000,472,11/18/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2020,11/1/2020,18-Nov-20
6,166,11/5/2020,No program specified,4500,478,5/11/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2020,11/1/2020,5-Nov-20
7,165,10/14/2020,No program specified,4500,471,10/14/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2020,10/1/2020,14-Oct-20
8,164,9/30/2020,No program specified,4200,471,9/30/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2020,9/1/2020,30-Sep-20
9,163,9/16/2020,No program specified,4200,472,9/16/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2020,9/1/2020,16-Sep-20
10,162,9/2/2020,No program specified,4200,475,2/9/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2020,9/1/2020,2-Sep-20
11,161,8/20/2020,Canadian Experience Class,3300,454,8/20/2020,Canadian Experience Class,8,2020,8/1/2020,20-Aug-20
12,160,8/19/2020,Provincial Nominee Program,600,771,8/19/2020,Provincial Nominee Program,8,2020,8/1/2020,19-Aug-20
13,159,8/6/2020,Federal Skilled Trades,250,415,6/8/2020,Federal Skilled Trades,8,2020,8/1/2020,6-Aug-20
14,158,8/5/2020,No program specified,3900,476,5/8/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2020,8/1/2020,5-Aug-20
15,157,7/23/2020,Canadian Experience Class,3343,445,7/23/2020,Canadian Experience Class,7,2020,7/1/2020,23-Jul-20
16,156,7/22/2020,Provincial Nominee Program,557,687,7/22/2020,Provincial Nominee Program,7,2020,7/1/2020,22-Jul-20
17,155,7/8/2020,No program specified,3900,478,8/7/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2020,7/1/2020,8-Jul-20
18,154,6/25/2020,Canadian Experience Class,3508,431,6/25/2020,Canadian Experience Class,6,2020,6/1/2020,25-Jun-20
19,153,6/24/2020,Provincial Nominee Program,392,696,6/24/2020,Provincial Nominee Program,6,2020,6/1/2020,24-Jun-20
20,152,6/11/2020,Canadian Experience Class,3559,437,11/6/2020,Canadian Experience Class,6,2020,6/1/2020,11-Jun-20
21,151,6/10/2020,Provincial Nominee Program,341,743,10/6/2020,Provincial Nominee Program,6,2020,6/1/2020,10-Jun-20
22,150,5/28/2020,Canadian Experience Class,3515,440,5/28/2020,Canadian Experience Class,5,2020,5/1/2020,28-May-20
23,149,5/27/2020,Provincial Nominee Program,385,757,5/27/2020,Provincial Nominee Program,5,2020,5/1/2020,27-May-20
24,148,5/14/2020,Canadian Experience Class,3371,447,5/14/2020,Canadian Experience Class,5,2020,5/1/2020,14-May-20
25,147,5/13/2020,Provincial Nominee Program,529,718,5/13/2020,Provincial Nominee Program,5,2020,5/1/2020,13-May-20
26,146,4/30/2020,Canadian Experience Class,3311,452,4/30/2020,Canadian Experience Class,4,2020,4/1/2020,30-Apr-20
27,145,4/29/2020,Provincial Nominee Program,589,692,4/29/2020,Provincial Nominee Program,4,2020,4/1/2020,29-Apr-20
28,144,4/16/2020,Canadian Experience Class,3782,455,4/16/2020,Canadian Experience Class,4,2020,4/1/2020,16-Apr-20
29,143,4/15/2020,Provincial Nominee Program,118,808,4/15/2020,Provincial Nominee Program,4,2020,4/1/2020,15-Apr-20
30,142,4/9/2020,Canadian Experience Class,3294,464,9/4/2020,Canadian Experience Class,4,2020,4/1/2020,9-Apr-20
31,141,4/9/2020,Provincial Nominee Program,606,698,9/4/2020,Provincial Nominee Program,4,2020,4/1/2020,9-Apr-20
32,140,3/23/2020,Canadian Experience Class,3232,467,3/23/2020,Canadian Experience Class,3,2020,3/1/2020,23-Mar-20
33,139,3/18/2020,Provincial Nominee Program,668,720,3/18/2020,Provincial Nominee Program,3,2020,3/1/2020,18-Mar-20
34,138,3/4/2020,No program specified,3900,471,4/3/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2020,3/1/2020,4-Mar-20
35,137,2/19/2020,No program specified,4500,470,2/19/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2020,2/1/2020,19-Feb-20
36,136,2/5/2020,No program specified,3500,472,5/2/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2020,2/1/2020,5-Feb-20
37,135,1/22/2020,No program specified,3400,471,1/22/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2020,1/1/2020,22-Jan-20
38,134,1/8/2020,No program specified,3400,473,8/1/2020,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2020,1/1/2020,8-Jan-20
39,133,12/19/2019,No program specified,3200,469,12/19/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2019,12/1/2019,19-Dec-19
40,132,12/11/2019,No program specified,3200,472,11/12/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2019,12/1/2019,11-Dec-19
41,131,11/27/2019,No program specified,3600,471,11/27/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2019,11/1/2019,27-Nov-19
42,130,11/13/2019,No program specified,3600,472,11/13/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2019,11/1/2019,13-Nov-19
43,129,10/30/2019,No program specified,3900,475,10/30/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2019,10/1/2019,30-Oct-19
44,128,10/16/2019,Federal Skilled Trades,500,357,10/16/2019,Federal Skilled Trades,10,2019,10/1/2019,16-Oct-19
45,127,10/2/2019,No program specified,3900,464,2/10/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2019,10/1/2019,2-Oct-19
46,126,9/18/2019,No program specified,3600,462,9/18/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2019,9/1/2019,18-Sep-19
47,125,9/4/2019,No program specified,3600,463,4/9/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2019,9/1/2019,4-Sep-19
48,124,8/20/2019,No program specified,3600,457,8/20/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2019,8/1/2019,20-Aug-19
49,123,8/12/2019,No program specified,3600,466,12/8/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2019,8/1/2019,12-Aug-19
50,122,7/24/2019,No program specified,3600,459,7/24/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2019,7/1/2019,24-Jul-19
51,121,7/10/2019,No program specified,3600,460,10/7/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2019,7/1/2019,10-Jul-19
52,120,6/26/2019,No program specified,3350,462,6/26/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2019,6/1/2019,26-Jun-19
53,119,6/12/2019,No program specified,3350,465,12/6/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2019,6/1/2019,12-Jun-19
54,118,5/29/2019,No program specified,3350,470,5/29/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2019,5/1/2019,29-May-19
55,117,5/15/2019,Federal Skilled Trades,500,332,5/15/2019,Federal Skilled Trades,5,2019,5/1/2019,15-May-19
56,116,5/1/2019,No program specified,3350,450,1/5/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2019,5/1/2019,1-May-19
57,115,4/17/2019,No program specified,3350,451,4/17/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2019,4/1/2019,17-Apr-19
58,114,4/3/2019,No program specified,3350,451,3/4/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2019,4/1/2019,3-Apr-19
59,113,3/20/2019,No program specified,3350,452,3/20/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2019,3/1/2019,20-Mar-19
60,112,3/6/2019,No program specified,3350,454,6/3/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2019,3/1/2019,6-Mar-19
61,111,2/20/2019,No program specified,3350,457,2/20/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2019,2/1/2019,20-Feb-19
62,110,1/30/2019,No program specified,3350,438,1/30/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,30-Jan-19
63,109,1/23/2019,No program specified,3900,443,1/23/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,23-Jan-19
64,108,1/9/2019,No program specified,3900,449,9/1/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,9-Jan-19
65,107,12/19/2018,No program specified,3900,439,12/19/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2018,12/1/2018,19-Dec-18
66,106,12/12/2018,No program specified,3900,445,12/12/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2018,12/1/2018,12-Dec-18
67,105,11/28/2018,No program specified,3900,445,11/28/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2018,11/1/2018,28-Nov-18
68,104,11/14/2018,No program specified,3900,449,11/14/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2018,11/1/2018,14-Nov-18
69,103,10/29/2018,No program specified,3900,442,10/29/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,29-Oct-18
70,102,10/15/2018,No program specified,3900,440,10/15/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,15-Oct-18
71,101,10/3/2018,No program specified,3900,445,3/10/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,3-Oct-18
72,100,9/24/2018,Federal Skilled Trades,400,284,9/24/2018,Federal Skilled Trades,9,2018,9/1/2018,24-Sep-18
73,99,9/19/2018,No program specified,3500,441,9/19/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2018,9/1/2018,19-Sep-18
74,98,9/5/2018,No program specified,3900,440,5/9/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2018,9/1/2018,5-Sep-18
75,97,8/22/2018,No program specified,3750,440,8/22/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2018,8/1/2018,22-Aug-18
76,96,8/8/2018,No program specified,3750,440,8/8/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2018,8/1/2018,8-Aug-18
77,95,7/25/2018,No program specified,3750,441,7/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2018,7/1/2018,25-Jul-18
78,94,7/11/2018,No program specified,3750,442,11/7/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2018,7/1/2018,11-Jul-18
79,93,6/25/2018,No program specified,3750,442,6/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2018,6/1/2018,25-Jun-18
80,92,6/13/2018,No program specified,3750,451,6/13/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2018,6/1/2018,13-Jun-18
81,91,5/30/2018,Federal Skilled Trades,500,288,5/30/2018,Federal Skilled Trades,5,2018,5/1/2018,30-May-18
82,91,5/30/2018,Provincial Nominee Program,200,902,5/30/2018,Provincial Nominee Program,5,2018,5/1/2018,30-May-18
83,90,5/23/2018,No program specified,3500,440,5/23/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2018,5/1/2018,23-May-18
84,89,5/9/2018,No program specified,3500,441,9/5/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2018,5/1/2018,9-May-18
85,88,4/25/2018,No program specified,3500,441,4/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2018,4/1/2018,25-Apr-18
86,87,4/11/2018,No program specified,3500,444,11/4/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2018,4/1/2018,11-Apr-18
87,86,3/26/2018,No program specified,3000,446,3/26/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2018,3/1/2018,26-Mar-18
88,85,3/14/2018,No program specified,3000,456,3/14/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2018,3/1/2018,14-Mar-18
89,84,2/21/2018,No program specified,3000,442,2/21/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2018,2/1/2018,21-Feb-18
